,text,label
0,@AmBlujay https://t.co/Ek5tNYt20T,0
1,@AzzouTaleb ارضاء الناس غاية لا تدرك اخي مساء النور,4
2,"@AAlmothaffar @Ahmed_alabidi تلقاه مش عايش ظروفك, مش حاس باللي قاعد فيه و لا عارف شنو يصيرلك من مشاكل لي كل و ينظّر… https://t.co/MgiaPLB9xe",7
3,فتح الجمعة .. من الأستاذ الفاضل محمد تاج الدين طيبي 🌷🌷 الفتوحات اليوسفية متوفر لمن أراد الحصول عليه. في انتظار مو… https://t.co/suCb1QvY0R,1
4,@Followback_Bag تم,0
5,احذروا..”قنابل” وسجائر وأحمر شفاه في محافظ أبنائكم! https://t.co/iGDMLA9qsZ https://t.co/9zMIYUNv6e,3
6,Vrai..... https://t.co/t3q6EIOb1I,0
7,@ZaroutaYoucef تبا,3
8,اذا سقطت لن ينتشلك احد ، انت لست عملة ورقية ...!! https://t.co/nb6oXLbSKv,2
9,Vrai. https://t.co/NnhYgMz5x7,0
10,https://t.co/EL7yJKPo5k,0
11,https://t.co/0IpsV3zm2O,0
12,@abc15748344 @roro19942 @Abdulrhmanalir اللهم اتنا خير هذا اليوم وبعده.,1
13,@HAMAD_ALHARBE @halimlounnas3,0
14,https://t.co/PAJrV8u5qx,0
15,@EvitaMan777 @beaamuntvcf79 @willylevy29 @WLWSpain @WLW_ARGENTINA @WLWCalifornia @WLWParaguay @MariaJoseSernaS… https://t.co/4ayfs3ueJa,0
16,@LucieSoullier Tous les #retraités sont régulièrement payés à la date fixée chaque mois ...Et sans interruption auc… https://t.co/ydgRvGJ80Y,0
17,https://t.co/BuYURlzFbS,0
18,😔😔💔 https://t.co/qd6RYaBmqr,2
19,@Cokie0 امممممم خلاص بطلي يا كوكي واجد 😂,6
20,@AlAhlyTV 1-1,0
21,https://t.co/SyjdLzaAci,0
22,@Adel91628872 هههههههه حنا في سطيف نقولو جرانة,1
23,@171M7I26dScjz7Z ههههه,1
24,@NoNA_8i2 ياااه 😂😂😂😂😂😂,1
25,لا ننسو سورة الكهف https://t.co/te9xNtMPYt,0
26,https://t.co/4SMK65oDmN,0
27,https://t.co/EFQCRpvksJ,0
28,@DrezaBastos @Alina70085372 @alina4_syvorova @Angietekila04 @patrycjaniemie5 @VaneVR31 @EspeditaAlves3 @fanyRuffo… https://t.co/XpaJ9oB6DJ,0
29,@ouchemaneB @chezzassalute لا هي عازبة الان ..هههه,1
30,@altebby متابع,0
31,@EgyptYoya اه نجح جدا 👏 انا خايفة اوي على الجدةومش عاوزاها تموت 😭💔,8
32,في طريق للعلمة ولاية سطيف ضباب كثيف https://t.co/D6Y5ESkU2r,0
33,@doaaeljawhary @moadalhmree نفسي والله خاطري تجيني حاجة هكي واتية😁,2
34,@Belar_Abnes ههههههههههههههههههههههههههههههههعجبتني تاع عبد القا,1
35,@M__Ossman @Salman20721294 @mawarbe08 @AurengzebKhan @monerief @artziiflower @tajou16 salam https://t.co/g87evzYYnC,0
36,@ABOASEMALWALIDI اللهم صل وسلم وبارك على سيدنا ونبينا محمد وعلى آله وصحبه أجمعين,5
37,@Echinanews سبحان الخالق,1
38,https://t.co/1RwLk4BUOl,0
39,@Dazedbeechx Salu,0
40,@alina_ruffo @DrezaBastos @MonyAwiwis @KarllaSilva31 @AnaJordania09 @Angietekila04 @marcianasilva28 @LennyOlliver4… https://t.co/qpQN5OLMaa,0
41,https://t.co/FIctC52q6H,0
42,@LoveAnd69769401 @tesamarylagvaz1 @antwanhoberg @jareckikonecki @Sylpete @Hakim170670 @francino1003… https://t.co/AAXImaHrGe,0
43,@Younisation من اسنانك انت لسه اهلا لكرة القدم.. اعطيك شوي بقرات و اذهب لترعى افضل 😂🤣,6
44,FRANCE https://t.co/LOghQaXfSo,0
45,836fea2e3f8bce5420eb362d9429f10262a565b1bbd40be0c31386377fb7d533daaa6777176c896a8ff50394bf7ea99e5f0db3e3b173c2cebbf… https://t.co/VvpDphQzBK,0
46,https://t.co/bxuj3rkau1,0
47,السلآم على الحسين وعلى علي ابن الحسين وعلى اولاد الحسين وعلى اصحاب الحسين https://t.co/8t7YiTzCGk,5
48,Rama a,0
49,@Soolking 😂✌ https://t.co/jW5Od4iUY3,0
50,https://t.co/asCFc8MFbd,0
51,الـشيخ #ابن_عثيمين رحمه الله: وتجد الإنسان صبوراً حازماً قوياً وإذا نابته نائبة من الدهر جعله يبكي كأنه صبي مع أنه… https://t.co/aHNta7RJ58,2
52,🇹🇷🇹🇷🇩🇿🇩🇿🇹🇷⚒️✔️ https://t.co/4hismDsHvP,0
53,اخاف كثيرآ ان افارق الحيآة وفي قلب آحدهم جرح صنعته بيدي ربيﻟﺂ تجعل كلماتي وتصرفاتي تؤلم ﺂحد,8
54,@peoplebelarabi @joeekaram @najwakaram مبرووووك جووو تستاااهل ها المحبه لان عم تعكس محبتنا وعشقنا اللامحدود لشمسنا #الجزائر,5
55,https://t.co/N9MSxhzhJ6,0
56,@QMakup ههههههههههههه,1
57,@nadjibbel حتى على مواقع التواصل,0
58,a1b028e674c6f6cd200130f92441dee7c79faaf8bc6dd4b997138380c722bb0050deb99ca222bc044204abcbcff0cadf16132ad78a615b6a655… https://t.co/f2s4MZEFch,0
59,@surbhicjyoti @Naagin3_ Oh My Heart @surbhicjyoti ❤️❤️❤️😍😍😍🥰🥰🥰😘😘😘,1
60,b06dac3854d9f6e720deea97a8352006d06d33f815ce7bf759a927cf39b973ba956ed9f0ce6614dc19ee3a05a3a13242c4099d6135315d09bc0… https://t.co/nRx9v37Tt9,0
61,https://t.co/xRU4Tl7DtZ,0
62,عيشي حياتك وثقي في ذاتك انت وردة 💃 @Kenza_Morsli #عيشي_حياتك,1
63,من #إكتشف قآارة🌍 #إفريقيآ 🏜 .. حتما سيكون له #عذآاب 🔥آاليم.. يوم آلقياامة 😂😂,3
64,@saifalhajri السلام عليكم. نريد التواصل مع مكتب الشيخ سيف الهاجري. جزاكم الله خير.,0
65,@lafleurdumaroc هه ماهذا التحريض !!😂😂,7
66,VIDEO. Indonésie : les images du tsunami qui a submergé l'île de Célèbes https://t.co/qewbd9eNJT via @franceinfo,0
67,@TerriBauman @halimlounnas3,0
68,@Adel91628872 يرزقك ربي إن شاء الله؛دير النية برك وإن شاء الله نفرحولك عن قريب,4
69,منظمة عربية منبطحة ذليلة بلا تربية ولا تعليم https://t.co/QWWZUPdK6O,6
70,@Mamo_Chan09 ههههههههه واعرة,8
71,"كتاب صدر عن دار سامي للنشر ، بعنوان كتاب الروح والجسد تقديم الشاعر العربي الكبير "" رفعت سلام"" يطرح الكتاب فكرة الكت… https://t.co/20Fk5IiNl6",0
72,اللهم لا تبعدني عن ثلاثة صلاتي ورضا الوالدين وكل من احبني بصدق,1
73,كسر الله كل قلب يكسر قلب انثى بدون حق💔,3
74,@nahed_chouiha صباح الخير اللهم اجعله يوم طيب,1
75,66eae63e25dd2ba920c8c24c5154ccfcaef257a9329e418ac667dc85509a6726605915475b6dbad93f9277bc088015503017cc164f57a6b3849… https://t.co/ZcxvKhu5Qk,0
76,@Fatimaalmosaw11 كلمات راءعة,1
77,[ ألا أخبركم بالمؤمن من أمنه الناس على أموالهم وأنفسهم والمسلم من سلم الناس من لسانه ويده والمجاهد من جاهد نفسه في… https://t.co/OfyVCfv7fa,1
78,https://t.co/xpL3AryFaq,0
79,هذه هو المنعرج اللقاء الضربة الجزاء الضائعة من البرغوت و هذا إنعكس علي إسبانيول بالإجابي عليهم و ضغطه حتي سجل الهدف… https://t.co/7di769r78B,1
80,https://t.co/5mH1Jf5bTe,0
81,بدأ عد تنازلي لاغنية اوبيرات عيشي حياتك مشاهدة ممتعة 💃 #عيشي_حياتك_مع_كنزة,1
82,تصبحون على خير,1
83,sur commande https://t.co/Jrz4VT1E3h,0
84,@LoljiGRGccv4kc مممممممممممممممم,0
85,قصتي مع المعودين 😆😆 https://t.co/UbYennYxyU,2
86,https://t.co/lE3OVznM0b,0
87,@skynewsarabia انت و ايران ملة واحدة متفقون عاى التخريب,6
88,@kathyireland,0
89,Vote for @BTS_twt in the Genie Music Awards using the IDOL CHAMP app.. https://t.co/rSIvVn8hww,0
90,كان يمسح وجهه بالماء ويقول اللهم خفف عني سكرات الموت وهوالرسول,2
91,# أروع رقص صحراوي https://t.co/MYLwYVPH5q,1
92,"ليس المُعاق ... مُعاق العقل والجسد , إنَّ المُعاق مُعاق الفكرِ والخلق",3
93,"George W. Bush, ancien Président des Etats-Unis (de 2001 à 2009) dont le mandat a été marqué par les attentats du 1… https://t.co/QrKzGhN1Pw",0
94,@EHSANFAKEEH تلك الدول تحترم مواطينها و لا تزج بهم في السجون,1
95,@BintBattuta13 La justice française doit se conformer à ses textes juridiques...Pas de viol...Pas d'accusation,3
96,@LinnJennie me too ...hhhhhhhhhh https://t.co/mgNLQW1G5S,1
97,@LoriShemek @halimlounnas3 https://t.co/kepdzqJBzo,0
98,@AAlshamsi97 @reembbb5566 @arabtimes_ انتم الارهاب,3
99,@g_alfahad @halimlounnas3 SWS,0
100,لا حول ولا قوة😂 https://t.co/qASiNkGQ8i,4
101,@SA_AD95 هذ ؟,0
102,Conseil du jour...! https://t.co/0ctyFJvbnZ,0
103,@zmadkms47 @zmadkms42 واوو,7
104,@omdaughtry https://t.co/CIvVUhUDfS,0
105,@kasimf المهم لا تنسى أن تعد نفسك واحد من البطاريق المصفقة,6
106,@almahdiiiiiii صباح الخير مهدي https://t.co/iGcBmduith,1
107,Who loves Ronaldo 😍😍 Who hates Ronaldo😡😡😡😡,0
108,مانبغيش نستشفى بصح تعجبني الدنيا كي تدور .,3
109,#السلطانه_غزل_البغداديه_وزوجها_احمد مجرد اقتراح لو تصور فيديو مثل هذا للسلطانه مع الفحل لاحدى لقاءاتها للمتابعين… https://t.co/D95pMMTefC,7
110,@kathyireland @halimlounnas3,0
111,يعتمدُ الصبـاح على قلوبنـا في إشراقته فكلمـا زاد يقينـنـا أنّه يوم سعيد وجميل زاد تـألُّـقــه صباح الاشراق لقل… https://t.co/7Ch4PGCme3,1
112,https://t.co/pnQFSMXu76,0
113,@ZiinBaad @BillalTaleb @abdelkrimosta @LamineZellag @AbdulOuahed https://t.co/o2MFF3Ebyu à la demande pour… https://t.co/q7CNOGq6WS,0
114,لن يكون عمرك كله ربيعاً .. ستتناوب عليك الفصول الأربعة .. تلفحك الحرارة .. تتجمد في صقيع الوحدة .. تتساقط أحلامك… https://t.co/525m39RBRs,0
115,@MustafaHosny الصلاة و السلام على رسول الله محمد خاتم الأنبياء والمرسلين,4
116,https://t.co/WhMiQLHDrZ,0
117,@Ania27El شريعة السيسي واتباعه الخونة هي من داسات علي هذه المبادىء بدعم عربي ودولي منبطحين لروسيا وامريكا https://t.co/cE8eKexdUQ,3
118,@RubinReport @charliekirk11 GUMS,0
119,@alihossine34 @regagda2002 @richman58y1 @manar_newsroom https://t.co/JDcSAs0hdO,0
120,bref https://t.co/Z6qYFV6xh3,0
121,@SuhilaBnLachhab mabrok wa mabrok lfarah yasmin #souhilaBenLachhab #souhilabenlachhab https://t.co/LbuS0lSwEC,1
122,@Faizy_Gunzo لوسمحت اريد إجابتك على سؤال لو تكرمت,1
123,صباح الخير و المحبة https://t.co/7BCVMRmNh0,1
124,@7saadiya فكل شي تقوليه نتي هه فلسفة في كل المجالات 🌹🌹😂..بلا زعاف برك اني نضحك معاك وخلاص 🌹🌹🌹,1
125,@Brik_Mohamed4 محاسبة,3
126,@imdeprest @TheRealEGWallin @sweden https://t.co/ednjkbse1F,0
127,@KebayL @AmelAmellia3 جامي ربحتوه ب 11 جوار,3
128,العلم الجزائري الوحيد الذي يرفعه الفلسطينيون في انتفاضتهم الأخيرة ضد القرار الأمريكي الظالم بشأن القدس مع فلسطين ظ… https://t.co/VYsp2jOtOT,5
129,💕💕,5
130,"-أنا أيضًا كنت إنساناً ذات يوم ، و كان لي حلم ، كنت فتى صالح و طيب القلب أيضًا""",3
131,@arabqoute اقتل نفسك برصاصة افضل من من السكين لراحتك فقط اخي المنتحر,3
132,fd349b8777e61e40201b59bb09e50e4c94c3bc7fa90ba37bee0943c4905c319b1288707e254f59c9ea07e3b0b91054c39b97ad2a80500874108… https://t.co/uvbNw6EITJ,0
133,@Sife_Nouadria @SouihatKhaled,0
134,@xmlrlEB4o1XVj جميل جيدا نعم 👍 اشكركم احسنتم سبحان الله العظيم الله اكبر ولله الحمد ولله الحمد,1
135,بحياتي ما فكرت غيّر اسمي https://t.co/l1ih0M4mhI,7
